"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация","2","0","Авторизация корректные учетными данными","0"
"0","","0","Авторизация","1","0","Авторизации недействительные учетные данные","0"
